/workspace/scripts/pretrain_on_tokens.py:75: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=args.mixed_precision == "fp16")
`loss_type=None` was set in the config but it is unrecognized. Using the default loss: `ForCausalLMLoss`.
step=6300/10010 tokens=103219200 loss=8.143800 lr=3.632376e-05
step=6350/10010 tokens=104038400 loss=7.619467 lr=3.548733e-05
step=6400/10010 tokens=104857600 loss=7.992843 lr=3.465532e-05
step=6450/10010 tokens=105676800 loss=8.265288 lr=3.382797e-05
step=6500/10010 tokens=106496000 loss=8.277107 lr=3.300553e-05
step=6550/10010 tokens=107315200 loss=8.083060 lr=3.218827e-05
step=6600/10010 tokens=108134400 loss=8.491041 lr=3.137642e-05
step=6650/10010 tokens=108953600 loss=8.602860 lr=3.057023e-05
step=6700/10010 tokens=109772800 loss=7.731874 lr=2.976994e-05
step=6750/10010 tokens=110592000 loss=8.388606 lr=2.897581e-05
step=6800/10010 tokens=111411200 loss=8.102827 lr=2.818807e-05
step=6850/10010 tokens=112230400 loss=8.148269 lr=2.740696e-05
step=6900/10010 tokens=113049600 loss=7.991787 lr=2.663271e-05
step=6950/10010 tokens=113868800 loss=8.014300 lr=2.586558e-05
step=7000/10010 tokens=114688000 loss=7.763010 lr=2.510577e-05
step=7050/10010 tokens=115507200 loss=7.948213 lr=2.435354e-05
step=7100/10010 tokens=116326400 loss=8.144739 lr=2.360910e-05
step=7150/10010 tokens=117145600 loss=7.809855 lr=2.287269e-05
step=7200/10010 tokens=117964800 loss=7.696053 lr=2.214452e-05
step=7250/10010 tokens=118784000 loss=8.300725 lr=2.142482e-05
step=7300/10010 tokens=119603200 loss=8.007741 lr=2.071381e-05
step=7350/10010 tokens=120422400 loss=7.784806 lr=2.001170e-05
step=7400/10010 tokens=121241600 loss=7.928447 lr=1.931870e-05
step=7450/10010 tokens=122060800 loss=8.462669 lr=1.863504e-05
step=7500/10010 tokens=122880000 loss=8.063254 lr=1.796090e-05
step=7550/10010 tokens=123699200 loss=7.723771 lr=1.729651e-05
step=7600/10010 tokens=124518400 loss=8.036244 lr=1.664206e-05
step=7650/10010 tokens=125337600 loss=7.538234 lr=1.599775e-05
step=7700/10010 tokens=126156800 loss=7.822292 lr=1.536378e-05
step=7750/10010 tokens=126976000 loss=7.713271 lr=1.474034e-05
step=7800/10010 tokens=127795200 loss=7.769844 lr=1.412762e-05
step=7850/10010 tokens=128614400 loss=8.205219 lr=1.352580e-05
step=7900/10010 tokens=129433600 loss=8.049577 lr=1.293507e-05
step=7950/10010 tokens=130252800 loss=7.486008 lr=1.235561e-05
step=8000/10010 tokens=131072000 loss=7.634880 lr=1.178759e-05
step=8050/10010 tokens=131891200 loss=8.120497 lr=1.123119e-05
step=8100/10010 tokens=132710400 loss=7.794110 lr=1.068657e-05
step=8150/10010 tokens=133529600 loss=8.083393 lr=1.015390e-05
step=8200/10010 tokens=134348800 loss=7.657847 lr=9.633354e-06
step=8250/10010 tokens=135168000 loss=7.958769 lr=9.125074e-06
step=8300/10010 tokens=135987200 loss=7.758241 lr=8.629220e-06
step=8350/10010 tokens=136806400 loss=7.717644 lr=8.145943e-06
step=8400/10010 tokens=137625600 loss=7.976389 lr=7.675390e-06
step=8450/10010 tokens=138444800 loss=7.655441 lr=7.217703e-06
step=8500/10010 tokens=139264000 loss=7.597775 lr=6.773022e-06
step=8550/10010 tokens=140083200 loss=8.107921 lr=6.341483e-06
step=8600/10010 tokens=140902400 loss=8.285757 lr=5.923215e-06
step=8650/10010 tokens=141721600 loss=7.534115 lr=5.518347e-06
step=8700/10010 tokens=142540800 loss=7.938163 lr=5.127002e-06
step=8750/10010 tokens=143360000 loss=8.212222 lr=4.749298e-06
step=8800/10010 tokens=144179200 loss=7.720793 lr=4.385350e-06
step=8850/10010 tokens=144998400 loss=8.006942 lr=4.035269e-06
step=8900/10010 tokens=145817600 loss=7.929993 lr=3.699162e-06
step=8950/10010 tokens=146636800 loss=8.064512 lr=3.377130e-06
step=9000/10010 tokens=147456000 loss=7.948921 lr=3.069271e-06
step=9050/10010 tokens=148275200 loss=8.078006 lr=2.775679e-06
step=9100/10010 tokens=149094400 loss=8.512598 lr=2.496444e-06
step=9150/10010 tokens=149913600 loss=7.673589 lr=2.231650e-06
step=9200/10010 tokens=150732800 loss=7.668657 lr=1.981377e-06
step=9250/10010 tokens=151552000 loss=7.923280 lr=1.745703e-06
step=9300/10010 tokens=152371200 loss=8.081929 lr=1.524697e-06
step=9350/10010 tokens=153190400 loss=7.866885 lr=1.318428e-06
step=9400/10010 tokens=154009600 loss=7.716111 lr=1.126959e-06
step=9450/10010 tokens=154828800 loss=8.404644 lr=9.503466e-07
step=9500/10010 tokens=155648000 loss=7.554097 lr=7.886457e-07
step=9550/10010 tokens=156467200 loss=7.715584 lr=6.419051e-07
step=9600/10010 tokens=157286400 loss=7.969951 lr=5.101693e-07
step=9650/10010 tokens=158105600 loss=7.589054 lr=3.934786e-07
step=9700/10010 tokens=158924800 loss=7.321872 lr=2.918683e-07
step=9750/10010 tokens=159744000 loss=7.736016 lr=2.053694e-07
step=9800/10010 tokens=160563200 loss=7.569157 lr=1.340081e-07
step=9850/10010 tokens=161382400 loss=7.516268 lr=7.780614e-08
step=9900/10010 tokens=162201600 loss=7.999511 lr=3.678059e-08
step=9950/10010 tokens=163020800 loss=7.477157 lr=1.094393e-08
step=10000/10010 tokens=163840000 loss=7.629951 lr=3.040088e-10
Writing model shards:   0%|          | 0/1 [00:00<?, ?it/s]Writing model shards: 100%|██████████| 1/1 [00:00<00:00,  2.52it/s]Writing model shards: 100%|██████████| 1/1 [00:00<00:00,  2.52it/s]
Finished pre-pre-training physics_ppt with final loss 8.018704
