/workspace/scripts/pretrain_on_tokens.py:75: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=args.mixed_precision == "fp16")
`loss_type=None` was set in the config but it is unrecognized. Using the default loss: `ForCausalLMLoss`.
step=8800/10010 tokens=144179200 loss=24.010507 lr=4.385350e-06
step=8850/10010 tokens=144998400 loss=25.542717 lr=4.035269e-06
step=8900/10010 tokens=145817600 loss=25.169971 lr=3.699162e-06
step=8950/10010 tokens=146636800 loss=24.993295 lr=3.377130e-06
step=9000/10010 tokens=147456000 loss=23.913777 lr=3.069271e-06
step=9050/10010 tokens=148275200 loss=25.777124 lr=2.775679e-06
step=9100/10010 tokens=149094400 loss=24.653711 lr=2.496444e-06
step=9150/10010 tokens=149913600 loss=25.524042 lr=2.231650e-06
step=9200/10010 tokens=150732800 loss=25.770559 lr=1.981377e-06
step=9250/10010 tokens=151552000 loss=24.618089 lr=1.745703e-06
step=9300/10010 tokens=152371200 loss=24.863721 lr=1.524697e-06
step=9350/10010 tokens=153190400 loss=25.256376 lr=1.318428e-06
step=9400/10010 tokens=154009600 loss=25.516629 lr=1.126959e-06
step=9450/10010 tokens=154828800 loss=24.052329 lr=9.503466e-07
step=9500/10010 tokens=155648000 loss=25.160120 lr=7.886457e-07
step=9550/10010 tokens=156467200 loss=24.273034 lr=6.419051e-07
step=9600/10010 tokens=157286400 loss=25.173964 lr=5.101693e-07
step=9650/10010 tokens=158105600 loss=24.480975 lr=3.934786e-07
step=9700/10010 tokens=158924800 loss=24.290515 lr=2.918683e-07
step=9750/10010 tokens=159744000 loss=25.755917 lr=2.053694e-07
step=9800/10010 tokens=160563200 loss=24.784938 lr=1.340081e-07
step=9850/10010 tokens=161382400 loss=25.370958 lr=7.780614e-08
step=9900/10010 tokens=162201600 loss=24.254812 lr=3.678059e-08
step=9950/10010 tokens=163020800 loss=25.859177 lr=1.094393e-08
step=10000/10010 tokens=163840000 loss=24.797276 lr=3.040088e-10
Writing model shards:   0%|          | 0/1 [00:00<?, ?it/s]Writing model shards: 100%|██████████| 1/1 [00:00<00:00,  2.39it/s]Writing model shards: 100%|██████████| 1/1 [00:00<00:00,  2.38it/s]
Finished pre-pre-training nca_ppt with final loss 24.637637
